Port Security,World Water Body,Railway,Cranes - Floating,Supplies - Provisions,Communications - Telefax,Publication Link,Facilities - Wharves,Harbor Type,Facilities - Ice Mooring,UN/LOCODE,Entrance Restriction - Ice,OID,Supplies - Fuel Oil,Services - Navigation Equipment,Offshore Maximum Vessel Beam (m),Facilities - Liquid Bulk,IHO S-57 Electronic Navigational Chart,Underkeel Clearance Management System,Pilotage - Advisable,Country Code,Region Name,Quarantine - Pratique,Harbor Use,Facilities - Med Mooring,IHO S-130 Sea Area,Facilities - Dangerous Cargo Anchorage,Lifts - 0-24 Tons,Services - Electrical Repair,Offshore Maximum Vessel Length (m),Facilities - Oil Terminal,Tidal Range (m),Vessel Traffic Service,First Port of Entry,Cranes - Fixed,Supplies - Engine,Estimated Time of Arrival Message,Search and Rescue,Entrance Restriction - Tide,Pilotage - Available,Communications - Radiotelephone,NAVAREA,Quarantine - Other,Anchorage Depth (m),Main Port Name,Facilities - Container,Services - Electricity,Pilotage - Local Assistance,Degaussing,Channel Depth (m),Dirty Ballast Disposal,Latitude,Supplies - Potable Water,Traffic Separation Scheme,World Port Index Number,Quarantine - Sanitation,Maximum Vessel Beam (m),Facilities - Beach Mooring,geometry,Communications - Telephone,Shelter Afforded,Oil Terminal Depth (m),Chemical Holding Tank Disposal,Maximum Vessel Draft (m),Supplies - Deck,Cranes Container,US Representative,Facilities - Solid Bulk,Entrance Restriction - Heavy Swell,Communications - Rail,Lifts - 100+ Tons,Alternate Port Name,Facilities - Breakbulk,Facilities - Anchorage,Services - Longshoremen,Sailing Direction or Publication,Facilities - Ro-Ro,Services -Diving,Entrance Restriction - Other,Facilities - Other,Longitude,Repairs,Dry Dock,Digital Nautical Chart,Maximum Vessel Length (m),Offshore Maximum Vessel Draft (m),Supplies - Aviation Fuel,Pilotage - Compulsory,Good Holding Ground,Overhead Limits,Communications - Airport,Tugs - Assistance,Lifts - 50-100 Tons,Supplies - Diesel Oil,Turning Area,Lifts - 25-49 Tons,Harbor Size,Garbage Disposal,Services - Ice Breaking,Facilities - LNG Terminal,Communications - Radio,Services -Steam,Liquified Natural Gas Terminal Depth (m),Cargo Pier Depth (m),Cranes - Mobile,Tugs - Salvage,Medical Facilities,IHO S-101 Electronic Navigational Chart,Standard Nautical Chart,Entrance Width (m)
Unknown,North Atlantic Ocean,Unknown,Unknown,Yes,Unknown,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,Yes,River (Natural),Unknown,,No,0.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,United States,United States E Coast -- 6585,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,1.5,Unknown,Yes,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,IV,Unknown,11.0,Maurer,Unknown,Yes,Unknown,Unknown,11.0,No,40.533333,Yes,Unknown,7950.0,No,0.0,Unknown,POINT (-74.25 40.533333),Yes,Good,0.0,Unknown,0.0,Yes,Unknown,No,Unknown,No,Yes,Unknown,,Unknown,Unknown,Unknown,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,Unknown,Unknown,Yes,Unknown,-74.25,Moderate,Unknown,"a1707640, coa17c, h1707960",0.0,0.0,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Yes,0.0,11.0,Unknown,Unknown,Yes,,12331.0,0.0
Unknown,Indian Ocean,Unknown,Unknown,Yes,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,Unknown,Coastal (Natural),Unknown,,Unknown,1.0,No,Unknown,0.0,Unknown,,Unknown,Unknown,Madagascar,Madagascar -- 47350,Unknown,Unknown,Yes,,Unknown,Unknown,Unknown,0.0,Unknown,8.0,Unknown,Unknown,Unknown,No,Yes,Unknown,Unknown,Yes,Unknown,VII,Unknown,14.0,Iharana,Unknown,Unknown,Yes,Unknown,14.0,Unknown,-13.35,Yes,Unknown,47620.0,Unknown,0.0,Unknown,POINT (50 -13.35),Unknown,Good,0.0,Unknown,0.0,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Yes,Yes,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,Unknown,Unknown,Unknown,Unknown,50.0,Emergency Only,Unknown,"coa02d, gen02b",0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,4.9,Unknown,Unknown,Unknown,,61560.0,0.0
Unknown,Mozambique Channel; Indian Ocean,Unknown,Unknown,Unknown,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,Unknown,2.0,No,Unknown,0.0,Unknown,,Unknown,Yes,Madagascar,Madagascar -- 47350,Unknown,Unknown,Unknown,,Unknown,Yes,Unknown,0.0,Unknown,4.0,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,No,Unknown,VII,Unknown,15.5,Andoany,Unknown,Yes,Unknown,Unknown,20.1,Unknown,-13.4,Yes,Unknown,47360.0,Unknown,0.0,Unknown,POINT (48.3 -13.4),Unknown,Fair,4.9,Unknown,0.0,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,,Unknown,Yes,Yes,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,Unknown,Unknown,Unknown,Unknown,48.3,Emergency Only,Unknown,"coa02h, gen02b",0.0,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,No,Yes,Yes,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,7.9,Yes,Unknown,Yes,,61420.0,0.0
Unknown,Indian Ocean,Unknown,Unknown,No,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,Unknown,Coastal (Natural),Unknown,,Unknown,3.0,No,Unknown,0.0,Unknown,,Unknown,Unknown,Tanzania,Tanzania -- 46965,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,0.0,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Unknown,VIII,Yes,12.5,Chake Chake,Unknown,Unknown,Unknown,Unknown,14.0,Unknown,-5.25,No,Unknown,47020.0,Unknown,0.0,Unknown,POINT (39.766667 -5.25),Unknown,Fair,0.0,Unknown,0.0,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,Unknown,Unknown,Unknown,Unknown,39.766667,Unknown,Unknown,"coa02c, gen02a",0.0,0.0,Unknown,No,Unknown,Unknown,Yes,No,Unknown,No,Unknown,Unknown,Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Yes,,61200.0,0.0
Unknown,Indian Ocean,Unknown,Unknown,Yes,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,No,4.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,Tanzania,Tanzania -- 46965,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,3.0,Unknown,No,Unknown,No,Yes,Unknown,No,Yes,Yes,VIII,Yes,17.1,Mjimwema Terminal,Unknown,Unknown,Yes,Unknown,23.2,Yes,-6.816667,Yes,Unknown,47005.0,Unknown,0.0,Unknown,POINT (39.366667 -6.816667),Unknown,Poor,15.5,Unknown,0.0,No,Unknown,No,Unknown,Yes,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,Unknown,Unknown,Yes,Unknown,39.366667,,Unknown,"a0247005, coa02c, gen02a",0.0,0.0,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,No,Yes,Unknown,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,Yes,,61191.0,0.0
Unknown,Mediterranean Sea; North Atlantic Ocean,Unknown,Unknown,Yes,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,Yes,Open Roadstead,Unknown,,Unknown,5.0,Yes,Yes,0.0,Unknown,,Unknown,Unknown,Turkey,Turkey Asia -- 44360,Yes,Unknown,Yes,,Unknown,Unknown,Yes,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,III,Unknown,23.2,Delta Terminal,Unknown,Yes,Unknown,Unknown,0.0,No,36.85,Unknown,Unknown,44804.0,Unknown,0.0,Unknown,POINT (36.166667 36.85),Unknown,Poor,6.4,Unknown,0.0,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,Unknown,Unknown,Yes,Unknown,36.166667,Moderate,Unknown,"a1044880, coa10d, gen10b",0.0,0.0,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,Yes,,54481.0,0.0
Unknown,"Indian Ocean, Java Sea; South Pacific Ocean",Unknown,Unknown,No,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,Yes,Open Roadstead,Unknown,,No,6.0,No,Unknown,0.0,Unknown,,Unknown,Yes,Indonesia,Indonesia -- 50020,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,0.0,Unknown,Yes,Unknown,No,Yes,Unknown,No,Yes,Yes,XI,Unknown,23.2,Cinta Oil Terminal,Unknown,Unknown,Unknown,Unknown,23.2,No,-5.5,No,Unknown,50350.0,Yes,0.0,Unknown,POINT (106.233333 -5.5),Unknown,Poor,23.2,Unknown,0.0,No,Unknown,No,Unknown,No,Yes,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,Unknown,Unknown,Yes,Unknown,106.233333,Emergency Only,Unknown,"coa04a, gen04c",0.0,0.0,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,Very Small,No,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,No,Yes,,71180.0,0.0
Unknown,Strait of Gibraltar; North Atlantic Ocean,Small,Unknown,Yes,Yes,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,Yes,Coastal (Breakwater),Unknown,,No,7.0,Yes,Yes,0.0,Unknown,,Unknown,Yes,Gibraltar,Gibraltar -- 38320,Yes,Unknown,Unknown,,Unknown,Yes,Yes,0.0,Unknown,1.0,Unknown,Yes,Yes,Yes,Yes,Unknown,No,Yes,Unknown,III,Yes,18.6,Europa Point,Unknown,Unknown,Unknown,Unknown,12.5,Yes,36.133333,Yes,Unknown,38330.0,Yes,0.0,Unknown,POINT (-5.35 36.133333),Yes,Good,9.4,Unknown,0.0,Yes,Unknown,No,Unknown,Yes,Yes,Unknown,,Unknown,Unknown,Yes,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,Unknown,Unknown,Yes,Unknown,-5.35,Major,Medium,"a0838320, coa08o, gen08b, h0838320",0.0,0.0,Unknown,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Medium,Unknown,Unknown,Unknown,Yes,Unknown,0.0,7.9,Yes,Unknown,Yes,,52045.0,0.0
Unknown,North Atlantic Ocean,Unknown,Unknown,Yes,Unknown,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,Yes,Coastal (Natural),Unknown,,No,8.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,United States,United States E Coast -- 6585,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,2.7,Unknown,No,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,IV,Unknown,6.4,New Harbor,Unknown,Unknown,Unknown,Unknown,6.4,No,43.866667,Yes,Unknown,7010.0,Yes,0.0,Unknown,POINT (-69.483333 43.866667),Yes,Fair,0.0,Unknown,0.0,Yes,Unknown,No,Unknown,No,Unknown,Unknown,,Unknown,Unknown,Unknown,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,Unknown,Unknown,No,Unknown,-69.483333,Limited,Unknown,"a1807100, coa18a, gen18a",0.0,0.0,Unknown,No,Unknown,No,Unknown,No,Unknown,Yes,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1.8,Unknown,No,Unknown,,13301.0,0.0
Unknown,South Atlantic Ocean,Unknown,Yes,Yes,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,Unknown,9.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,Brazil,Brazil SE Coast -- 12700,Yes,Unknown,Yes,,Unknown,Unknown,Yes,0.0,Unknown,1.0,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,V,Yes,14.0,Dtse / Gegua Oil Terminal,Unknown,Yes,Yes,Unknown,11.0,Unknown,-22.816667,Yes,Unknown,12900.0,Unknown,0.0,Unknown,POINT (-43.15 -22.816667),Unknown,Fair,7.9,Unknown,0.0,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,Unknown,Unknown,Unknown,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,Unknown,Unknown,Yes,Unknown,-43.15,Major,Medium,"a0112920, coa01f, gen01c, h0112920",0.0,0.0,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,Yes,,24162.0,0.0
Unknown,Red Sea; Indian Ocean,Unknown,Unknown,Unknown,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,Unknown,Coastal (Natural),Unknown,,Unknown,10.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,Saudi Arabia,Saudi Arabia -- 48100,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,IX,Unknown,0.0,Sharmah,Unknown,Unknown,Unknown,Unknown,23.2,Unknown,27.933333,Unknown,Unknown,48104.0,Unknown,0.0,Unknown,POINT (35.25 27.933333),Unknown,Poor,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ash Sharmah,Unknown,Unknown,Unknown,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,Unknown,Unknown,Yes,Unknown,35.25,Unknown,Unknown,"coa10f, gen10c",0.0,0.0,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,Unknown,Unknown,,62220.0,0.0
Unknown,Gulf of Mexico; North Atlantic Ocean,Medium,Unknown,Yes,Unknown,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp5/CPB5_WEB.pdf,Yes,River (Natural),Unknown,,No,11.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,United States,US Gulf Coast -- 8650,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,0.3,Unknown,Yes,Unknown,Yes,No,Unknown,No,Unknown,Yes,IV,Unknown,9.4,Norsworthy,Unknown,Unknown,Unknown,Unknown,11.0,No,29.733333,Yes,Unknown,9210.0,Unknown,0.0,Unknown,POINT (-95.2 29.733333),Yes,Good,0.0,Unknown,0.0,Yes,Unknown,No,Unknown,No,Yes,Unknown,,Unknown,Unknown,Unknown,U.S. Coast Pilot 5 - Gulf of Mexico Puerto Rico and Virgin Islands,Unknown,Unknown,Yes,Unknown,-95.2,Unknown,Unknown,"coa15a, gen15, h1509150",0.0,0.0,Unknown,Yes,Unknown,Yes,Unknown,No,Unknown,Yes,Yes,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,9.4,Unknown,No,Yes,,11325.0,0.0
Unknown,North Atlantic Ocean,Unknown,Unknown,Yes,Unknown,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,Yes,Coastal (Natural),Unknown,,No,12.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,United States,United States E Coast -- 6585,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,3.0,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Yes,Unknown,IV,Unknown,9.4,Minturn,Unknown,Unknown,Unknown,Unknown,1.8,No,44.15,Yes,Unknown,6750.0,No,0.0,Unknown,POINT (-68.45 44.15),Yes,Good,0.0,Unknown,0.0,Unknown,Unknown,No,Unknown,No,Unknown,Unknown,,Unknown,Unknown,Unknown,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,Unknown,Unknown,Yes,Unknown,-68.45,Unknown,Unknown,"a1806700, coa18b, gen18a",0.0,0.0,Unknown,No,Unknown,No,Unknown,No,Unknown,Yes,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,Unknown,No,Unknown,,13313.0,0.0
Unknown,North Atlantic Ocean,Unknown,Unknown,Yes,Unknown,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,Yes,Coastal (Breakwater),Unknown,,No,13.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,United States,United States E Coast -- 6585,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,2.7,Unknown,No,Unknown,Unknown,No,Unknown,No,No,Unknown,IV,Unknown,1.8,Criehaven,Unknown,Unknown,Unknown,Unknown,1.8,No,43.833333,Yes,Unknown,6820.0,No,0.0,Unknown,POINT (-68.883333 43.833333),Yes,Poor,0.0,Unknown,0.0,Unknown,Unknown,No,Unknown,No,Unknown,Unknown,,Unknown,Unknown,Unknown,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,Unknown,Unknown,Yes,Unknown,-68.883333,Unknown,Unknown,"a1806920, coa18a, gen18a",0.0,0.0,Unknown,No,Unknown,No,Unknown,No,Unknown,Yes,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1.8,Unknown,No,Unknown,,13303.0,0.0
Unknown,South Atlantic Ocean,Unknown,Unknown,Unknown,Yes,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,Unknown,14.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,"Saint Helena, Ascension, and Tristan da Cunha",Ascension -- 46660,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,VII,Unknown,3.4,North Point,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,-7.883333,Unknown,Unknown,46691.0,Unknown,0.0,Unknown,POINT (-14.366667 -7.883333),Unknown,Poor,11.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,Unknown,Unknown,Yes,Unknown,-14.366667,Unknown,Unknown,"a0146670, gen01b",0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,Unknown,,57487.0,0.0
Unknown,Gulf of Thailand; South China Sea; North Pacific Ocean,Unknown,Unknown,No,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,Unknown,15.0,No,Unknown,0.0,Unknown,,Unknown,Unknown,Thailand,Thailand -- 57431,Unknown,Unknown,Yes,,Unknown,Unknown,Unknown,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,XI,Unknown,23.2,Bongkot Terminal,Unknown,Unknown,Unknown,Unknown,23.2,No,8.05,No,Unknown,57433.0,Unknown,0.0,Unknown,POINT (102.333333 8.05),Unknown,Poor,23.2,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,Unknown,Unknown,Yes,Unknown,102.333333,,Unknown,"coa03d, gen03a",0.0,0.0,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,No,Unknown,Unknown,Very Small,No,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,No,,93180.0,0.0
Unknown,Makassar Strait; South Pacific Ocean,Unknown,Unknown,Yes,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,Unknown,Open Roadstead,Unknown,,Unknown,16.0,No,Unknown,0.0,Unknown,,Unknown,Unknown,Indonesia,Sulawesi -- 51970,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,4.0,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,XI,Yes,23.2,Donggala,Unknown,Unknown,Unknown,Unknown,23.2,Unknown,-0.65,Yes,Unknown,52350.0,Yes,0.0,Unknown,POINT (119.733333 -0.65),Unknown,Fair,1.8,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,,Unknown,Yes,Unknown,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,Unknown,Unknown,Unknown,Unknown,119.733333,Emergency Only,Unknown,"coa04c, gen04c",0.0,0.0,Unknown,No,Unknown,Unknown,Yes,Unknown,Unknown,No,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,1.8,Unknown,Unknown,Yes,,72171.0,0.0
Unknown,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Unknown,Unknown,Unknown,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,Unknown,Coastal (Natural),Unknown,,No,17.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,Greece,Greece East Coast -- 42010,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,III,Unknown,9.4,Larimna,Unknown,Unknown,Unknown,Unknown,11.0,No,38.566667,Unknown,Unknown,42415.0,Unknown,0.0,Unknown,POINT (23.283333 38.566667),Unknown,Good,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Larmes,Unknown,Unknown,Unknown,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,Unknown,Unknown,Yes,Unknown,23.283333,Unknown,Unknown,"a0942415, coa09d, gen09, h0942415",0.0,0.0,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,11.0,Unknown,Unknown,Unknown,,54282.0,0.0
Unknown,Mediterranean Sea; North Atlantic Ocean,Unknown,Unknown,Unknown,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,Yes,Coastal (Natural),Unknown,,Unknown,18.0,Unknown,Unknown,0.0,Unknown,,Unknown,Unknown,Spain,Spain SE Coast -- 38340,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,III,Unknown,23.2,Hornillo,Unknown,Unknown,Unknown,Unknown,14.0,Unknown,37.4,Unknown,Unknown,38420.0,Unknown,0.0,Unknown,POINT (-1.55 37.4),Unknown,Fair,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,Unknown,Unknown,Unknown,Unknown,-1.55,Unknown,Unknown,"a0838430, coa08o, gen08b",0.0,0.0,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,4.9,Unknown,Unknown,Yes,,52060.0,0.0
Unknown,Mediterranean Sea; North Atlantic Ocean,Small,Unknown,Unknown,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,Yes,Open Roadstead,Unknown,,No,19.0,Yes,Unknown,0.0,Unknown,,Unknown,Unknown,Italy,Italy -- 39125,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,0.0,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,No,Yes,Yes,III,Unknown,23.2,Melilli Oil Terminal,Unknown,Unknown,Unknown,Unknown,21.6,Unknown,37.116667,Yes,Unknown,40245.0,Unknown,0.0,Unknown,POINT (15.25 37.116667),Unknown,Fair,17.1,Unknown,0.0,Unknown,Unknown,No,Unknown,No,Unknown,Unknown,,Unknown,Unknown,Unknown,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,Unknown,Unknown,Yes,Unknown,15.25,Limited,Unknown,"a0940250, coa09b, gen09",0.0,0.0,Unknown,Yes,Yes,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Very Small,Unknown,Unknown,Unknown,Yes,Unknown,0.0,0.0,Unknown,Unknown,Unknown,,53212.0,0.0
Unknown,South China Sea; North Pacific Ocean,Unknown,Unknown,No,Unknown,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,Yes,Open Roadstead,Unknown,,Unknown,20.0,No,Unknown,0.0,Unknown,,Unknown,Unknown,Malaysia,Malaysia -- 57400,Yes,Unknown,Yes,,Unknown,Yes,Unknown,0.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,XI,Yes,21.6,Kirteh Oil Terminal,Unknown,Unknown,Unknown,Unknown,11.0,No,4.566667,No,Unknown,57415.0,Unknown,0.0,Unknown,POINT (103.466667 4.566667),Unknown,Fair,11.0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,,Unknown,Unknown,Unknown,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,Unknown,Unknown,Yes,Unknown,103.466667,,Unknown,"a0357415, coa03b, gen03a, h0357415",0.0,0.0,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Small,No,Unknown,Unknown,Yes,Unknown,0.0,0.0,Yes,Unknown,No,,93117.0,0.0
